Nome,Cenarios_de_merge,Cenarios_de_merge_com_conflitos_de_renomeacao_de_funcao,Cenarios_de_merge_com_conflitos_de_conversao_de_funcao,Cenarios_de_merge_com_conflitos_de_deslocamento_de_declaracao_de_funcao,Cenarios_de_merge_com_conflitos_de_mapeamento_umPorUm_para_entidade_nao_mais_existente,%
Ace,195,0,0,0,0,0
AngularJS,34,0,0,0,0,0
Async,372,0,0,0,0,0
BitcoinJS,375,0,1,0,0,0.27
Bluebird,216,0,0,0,0,0
Bower,427,0,0,0,0,0
Bowser,129,0,0,0,0,0
Brackets,88,0,0,0,0,0
Chance,194,0,0,0,0,0
d3,159,0,0,0,0,0
director,77,0,0,0,2,2.60
Dox,55,0,0,0,0,0
faker.js,178,0,0,0,0,0
fetch,117,0,0,0,0,0
Flux,114,0,0,0,0,0
GitBook,205,0,0,0,1,0.49
i18next,229,0,0,0,0,0
impress.js,59,0,0,0,0,0
Intro.js,169,0,0,0,0,0
Istanbul,126,0,0,0,0,0
Jasmine,285,0,0,0,0,0
jQuery,245,0,0,1,2,1.22
jquery-pjax,98,0,0,0,0,0
JSHint,337,0,0,0,1,0.30
Konva,257,0,0,0,0,0
Less.js,443,1,0,0,2,0.68
Mocha,186,0,0,0,0,0
Mousetrap,36,0,0,0,0,0
mustache.js,134,0,0,0,0,0
Nightmare,267,0,0,0,1,0.37
node_redis,187,0,0,0,4,2.14
node-restify,294,1,0,0,0,0.34
numbers.js,92,0,0,0,0,0
page.js,128,0,0,2,1,2.34
Paper.js,411,0,0,0,0,0
Phaser,198,0,0,0,0,0
PM2,193,0,0,0,1,0.52
Pug,451,0,0,0,0,0
Q,148,0,0,0,0,0
Request,185,0,1,0,0,0.54
RequireJS,157,0,0,0,0,0
reveal.js,389,0,0,0,0,0
socket.io,290,0,0,0,0,0
StatsD,287,0,0,0,0,0
Stylus,188,0,0,0,0,0
three.js,92,0,0,0,0,0
Underscore.js,238,0,0,0,0,0
WebTorrent,306,0,0,0,1,0.33
whistle,63,0,0,0,0,0
Zepto.js,242,0,0,0,0,0